method,rows,time_min
BLOCKS_K2,40,63.61453855195797
BLOCKS_K2,40,64.30921339100105
BLOCKS_K2,40,59.69609174861419
BLOCKS_K2,40,52.91937677120606
BLOCKS_K2,40,48.55203111099987
BLOCKS_K2,40,58.378466042319864
BLOCKS_K2,40,59.95239470732466
BLOCKS_K2,40,69.31646894393172
BLOCKS_K2,40,55.54835769551777
BLOCKS_K2,40,58.59338990975801
BLOCKS_K2,40,62.52543803857555
BLOCKS_K2,40,59.729230591342755
BLOCKS_K2,40,55.47498384584594
BLOCKS_K2,40,60.94908058616177
BLOCKS_K2,40,60.655834085710595
BLOCKS_K2,40,58.42418222647359
BLOCKS_K2,40,53.466144747383716
BLOCKS_K2,40,62.96344161427739
BLOCKS_K2,40,58.36664767539514
BLOCKS_K2,40,54.03063631012903
BLOCKS_K2,40,55.152529878973816
BLOCKS_K2,40,55.7365314621959
BLOCKS_K2,40,63.958795661605755
BLOCKS_K2,40,67.52548474014415
BLOCKS_K2,40,71.72643069730418
BLOCKS_K2,40,69.67227528200259
BLOCKS_K2,40,64.12754839814224
BLOCKS_K2,40,59.99306290292458
BLOCKS_K2,40,62.51327199340788
BLOCKS_K2,40,58.832049799139995
BLOCKS_K2,40,69.56830438379342
BLOCKS_K2,40,56.660755233089
BLOCKS_K2,40,58.75361528616757
BLOCKS_K2,40,67.22224429605893
BLOCKS_K2,40,60.460300639179884
BLOCKS_K2,40,56.834589438116545
BLOCKS_K2,40,52.78388657976911
BLOCKS_K2,40,53.848296713731834
BLOCKS_K2,40,60.62639091794359
BLOCKS_K2,40,68.39914944174348
BLOCKS_K2,40,70.50511917359381
BLOCKS_K2,40,49.66303831347204
BLOCKS_K2,40,69.70853899379095
BLOCKS_K2,40,60.998460484350026
BLOCKS_K2,40,64.73151531844442
BLOCKS_K2,40,63.60941106471337
BLOCKS_K2,40,62.83576958971031
BLOCKS_K2,40,61.7211983613997
BLOCKS_K2,40,66.73304064067337
BLOCKS_K2,40,75.11671365622956
BLOCKS_K2,40,56.08846195920997
