run,time_min,cum_mean_min,seed
76,144.15633271205363,151.53041272593967,12420
77,160.5188631217789,151.64714584796354,12421
78,138.9112826513758,151.4838655505714,12422
79,149.41321600461856,151.45765479682515,12423
80,142.49660417208355,151.3456416640159,12424
81,142.9538405670373,151.24203918133716,12425
82,145.86566821135318,151.1764736817032,12426
83,151.8611032685547,151.18472223094236,12427
84,147.0454698668347,151.13544541708393,12428
85,129.75307617242197,150.88388813185264,12429
86,140.73901023395678,150.76592443536546,12430
87,133.5475315334288,150.56801187327426,12431
88,153.35453320603585,150.59967688841928,12432
89,135.46249048110985,150.42959614226973,12433
90,154.8463691208587,150.4786713975874,12434
91,150.5459240738336,150.47941043798568,12435
92,157.63073829159288,150.55714226248142,12436
93,144.0826374998595,150.48752393170054,12437
94,150.15963711558294,150.48403577408226,12438
95,130.1344227331994,150.26982932102032,12439
96,150.9955462589968,150.2773888724576,12440
97,139.0689856347957,150.16183832361574,12441
98,165.9297780512456,150.32273566777522,12442
99,138.12262186175082,150.1995021949871,12443
100,164.7644439764952,150.34515161280217,12444
101,160.58562650021466,150.4465424532716,12445
102,163.7548748216472,150.5770163000204,12446
103,149.5266820783533,150.56681888039256,12447
104,152.6103319694751,150.58646804471067,12448
105,159.01530503577297,150.66674268272078,12449
106,146.21554084057493,150.62475021251186,12450
107,136.78964670143787,150.49545017969808,12451
108,161.84201253878726,150.60051094228223,12452
109,155.8176951860185,150.64837501791285,12453
110,136.395442477431,150.51880290390847,12454
111,158.4619914696495,150.59036316125747,12455
112,140.3746326012278,150.49915128125718,12456
113,143.34338439642872,150.435825910595,12457
114,150.1587669239433,150.4333955686068,12458
115,152.18881923394878,150.4486601222185,12459
116,147.46119971519042,150.4229061531924,12460
117,150.68318569247597,150.42513076463928,12461
118,158.8639775406515,150.49664641528346,12462
119,137.0790275774541,150.3838933158059,12463
120,155.1602282368732,150.4236961068148,12464
121,147.5997258721075,150.40035750983373,12465
122,146.92093247702542,150.3718376325156,12466
123,148.01167990242936,150.35264935828727,12467
124,158.2785319657531,150.416567766412,12468
125,145.80215458880713,150.37965246099114,12469
126,151.06102672077108,150.38506019321161,12470
127,139.80502718475256,150.30175284668832,12471
128,145.1213803620653,150.26128118665224,12472
129,140.49381983077217,150.1855644319555,12473
130,149.09613241747485,150.17718418569024,12474
131,150.3325538185851,150.17837021342228,12475
132,153.75995358084324,150.2055034207512,12476
133,142.7884551229347,150.14973614031652,12477
134,144.83230776727694,150.11005383902517,12478
135,134.0454457572929,149.99105674212345,12479
136,158.65401721135987,150.0547549808678,12480
137,145.21912260749127,150.01945839420085,12481
138,151.79183522983809,150.032301704604,12482
139,155.0891272002055,150.06868174414072,12483
140,151.8356572425818,150.08130299770102,12484
141,148.8398490271141,150.07249835961176,12485
142,146.71324829541044,150.0488416690188,12486
143,131.1868315428067,149.916939500304,12487
144,149.34472016313984,149.91296575490702,12488
145,143.99437659246297,149.8721478986143,12489
146,151.7701709427846,149.88514805645107,12490
147,141.92976783790294,149.83102982367183,12491
148,144.77820798261496,149.7968891355566,12492
149,153.74587132298987,149.82339237171385,12493
150,168.56810995593884,149.94835715560868,12494
151,143.76849836084926,149.90743093842485,12495
152,150.65856784073594,149.91237262857166,12496
153,172.5450125410721,150.06029837963374,12497
154,144.41163645296353,150.0236187567333,12498
155,140.82107117073997,149.96424748198493,12499
156,155.95304930585874,150.00263723726619,12500
157,179.25669219335555,150.18896879749605,12501
158,156.43658761480805,150.22851068874485,12502
159,148.14287575537602,150.21539348790606,12503
160,140.85487857437403,150.15689026969648,12504
161,148.880639233219,150.1489632446252,12505
162,139.69126635122385,150.08440956009804,12506
163,150.21225126512303,150.0851938650368,12507
164,154.2166397997507,150.11038560854118,12508
165,147.67082318579307,150.09560038173666,12509
166,156.13551688273137,150.13198542089927,12510
167,139.16409022696612,150.0663094017739,12511
168,151.4389639627912,150.0744799646371,12512
169,159.11935926593736,150.12799996050282,12513
170,156.2504518552231,150.16401438341293,12514
171,155.5320199422701,150.19540622878637,12515
172,150.50440633275127,150.1972027410187,12516
173,149.58204640891805,150.19364692407015,12517
174,143.90158848212945,150.1574856686567,12518
175,145.5636918679944,150.1312354183672,12519
176,138.1657112330376,150.06324948549602,12520
177,157.05522356751678,150.1027521639255,12521
178,142.2199160728324,150.05846656790814,12522
179,154.1475107235519,150.0813103900067,12523
180,149.45571192785596,150.07783484299475,12524
181,151.58366109230747,150.08615432503515,12525
182,158.48289349284693,150.1322902545286,12526
183,145.48669675312408,150.10690449769035,12527
184,142.21368162731432,150.06400654730788,12528
185,154.35834357945407,150.08721917991406,12529
186,127.87048314497086,149.9677743625219,12530
187,146.80687370225255,149.9508711504349,12531
188,169.10400362087057,150.05274951463934,12532
189,165.68658605673266,150.13546822650227,12533
190,150.27486023075494,150.1362018686299,12534
191,157.2563900725438,150.1734803409017,12535
192,158.5065014877946,150.21688149270847,12536
193,145.63855443439505,150.1931595908519,12537
194,137.5742372032111,150.12811359916304,12538
195,185.19810664122875,150.30795971732746,12539
196,156.41368427689122,150.3391113732436,12540
197,173.12997370859614,150.45480102976825,12541
198,142.17502100621954,150.41298395894225,12542
199,148.4573563455939,150.4031566845033,12543
200,157.85402735909912,150.4404110378763,12544
201,156.3097259154115,150.46961160940631,12545
202,142.54734829384887,150.43039248408178,12546
203,155.1543947014313,150.45366343096526,12547
204,162.15358617023767,150.51101599341268,12548
205,154.16005199173662,150.52881616901425,12549
206,154.68579718149985,150.54899568849234,12550
207,153.9774158320311,150.5655581046447,12551
208,163.03477132369744,150.62550624512093,12552
209,149.25285437509186,150.61893853282413,12553
210,155.0331153078553,150.63995842222906,12554
211,153.67782129373867,150.65435587659638,12555
212,141.35060864133837,150.61047027643008,12556
213,141.18259672995242,150.56620795931047,12557
214,139.8960669524217,150.51634748731567,12558
215,149.39875725631316,150.51114939321798,12559
216,137.50096283456546,150.45091704803903,12560
217,144.36189542356314,150.42285704055297,12561
218,137.59394360803796,150.36400881379834,12562
219,136.96534938704932,150.30282772052547,12563
220,139.88617837091144,150.2554793143909,12564
221,147.90851603981554,150.24485957106702,12565
222,152.6423470707727,150.25565906430896,12566
223,154.15063785692837,150.2731253369216,12567
224,154.53990941226513,150.29217348011505,12568
