run,time_min,cum_mean_min,seed
226,164.6778039297945,172.3134864225105,22570
227,167.24306158210243,172.29114974920475,22571
228,171.51300708730577,172.2877368427929,22572
229,164.23831991152605,172.2525865505166,22573
230,178.25535832824357,172.27868555824585,22574
231,164.02491628399235,172.24295495532704,22575
232,188.3556779204493,172.31240634741812,22576
233,174.81015331036969,172.3231262914651,22577
234,168.2194223243866,172.30558909502457,22578
235,157.06377835047658,172.24073032589885,22579
236,176.59131265294118,172.25916499677615,22580
237,171.91010588537472,172.2576921735213,22581
238,169.1218342279157,172.24451629980027,22582
239,179.38732075383083,172.274402510905,22583
240,170.54222398322997,172.267185100373,22584
241,170.922993809496,172.2616075431495,22585
242,164.64933127687385,172.23015185609876,22586
243,174.7840368274758,172.2406616707958,22587
244,168.22711679019903,172.22421271636708,22588
245,174.36428876125962,172.23294772063198,22589
246,175.98558324023094,172.24820233656527,22590
247,153.34965156165134,172.17168998524986,22591
248,175.43376833705017,172.18484352699096,22592
249,173.4017354318081,172.18973064307454,22593
250,182.0525146296231,172.22918177902076,22594
251,169.6281567451727,172.2188191294835,22595
252,183.99712416124902,172.2655584351651,22596
253,178.9547273715158,172.29199783807562,22597
254,181.73876627275652,172.32918983978695,22598
255,167.75024568409725,172.31123319603913,22599
256,158.7080957169516,172.25809594026146,22600
257,173.06455505621858,172.2612339134753,22601
258,175.0153890257016,172.27190893329015,22602
259,169.33816477398244,172.26058173576385,22603
260,166.41350081899503,172.23809296300706,22604
261,160.47300161218385,172.1930159846514,22605
262,173.49766520470155,172.19799556182716,22606
263,169.51550745834092,172.1877959872892,22607
264,188.27641346034972,172.24873772014172,22608
265,165.5845188643959,172.22358972445966,22609
266,163.24930279517758,172.18985180367287,22610
267,153.04950644026462,172.11816511691853,22611
268,179.60375568573699,172.14609642501114,22612
269,184.98632794471496,172.19382962768663,22613
270,166.1195008482972,172.17133211368886,22614
271,164.45580338131046,172.14286152796052,22615
272,160.04504365549687,172.0983842563706,22616
273,164.02936235937236,172.068827399605,22617
274,163.56878077529723,172.03780533163308,22618
275,180.35984099003036,172.0680672794818,22619
276,151.37081934706333,171.99307725074118,22620
277,176.3028310882448,172.0086359288549,22621
278,171.04685232044324,172.00517627558722,22622
279,179.3120202244548,172.03136568042189,22623
280,174.17746133116188,172.03903030774595,22624
281,175.63082253601638,172.05181248649424,22625
282,185.62463401591233,172.0999430592936,22626
283,180.02155313333833,172.12793461432557,22627
284,176.79873133684382,172.14438108165837,22628
285,179.7698318943308,172.17113704942213,22629
286,185.3087758531811,172.21707284943528,22630
287,165.50608485539493,172.1936896160066,22631
288,164.4475475496488,172.1667932893873,22632
289,187.28054556622303,172.21909001006836,22633
290,173.73231084179605,172.2243080129364,22634
291,164.88168718519208,172.1990756389579,22635
292,175.75217520870586,172.21124378816936,22636
293,177.02697298807595,172.2276797240052,22637
294,174.8651715387249,172.2366507845995,22638
295,182.76094316908495,172.27232635200454,22639
296,173.3466069906125,172.27595567848633,22640
297,165.4486848921725,172.25296823476134,22641
298,183.72783311464678,172.29147449274757,22642
299,173.74444304344865,172.29633391933854,22643
300,170.4573538979311,172.29020398593383,22644
301,174.79250489580193,172.2985172779932,22645
302,185.71378819654805,172.34293870487585,22646
303,186.82796994144584,172.39074408849487,22647
304,167.63883584915658,172.37511281139177,22648
305,172.69852292133186,172.37617317240796,22649
306,169.40904228251813,172.36647666623185,22650
307,162.4552331368775,172.33419248535446,22651
308,174.2207770009539,172.34031775975578,22652
309,167.60918887877276,172.32500666305356,22653
310,176.33505624106658,172.33794230685362,22654
311,175.32709710730086,172.34755373708012,22655
312,163.43374505873038,172.31898383747006,22656
313,159.55388482680883,172.2782007735382,22657
314,169.69403727096426,172.26997095346633,22658
315,170.07288877906228,172.2629960894206,22659
316,178.11407574372097,172.28151216427597,22660
317,152.08402613319237,172.21779769730094,22661
318,172.21018564796563,172.2177737600389,22662
319,176.48859867775536,172.23116192592514,22663
320,185.1030674855346,172.27138663079896,22664
321,158.3346394088219,172.22796997278655,22665
322,177.81462727690183,172.24531984019063,22666
323,180.45687819141506,172.27074262146377,22667
324,180.44190522087865,172.29596225911632,22668
325,174.68976504420087,172.30332780614734,22669
326,152.04819072802906,172.24119548382183,22670
327,168.53039988669508,172.22984748505382,22671
328,169.99883619564773,172.22304562136662,22672
329,177.89794802026432,172.24029456482833,22673
330,169.12427777310222,172.2308520897019,22674
331,182.83501714497964,172.26288884213474,22675
332,169.94866039623156,172.2559182745266,22676
333,163.03593649943699,172.22823064156836,22677
334,169.83320234360224,172.22105989816131,22678
335,156.4308539333698,172.1739249549828,22679
336,183.2539136360232,172.2069011117716,22680
337,164.3021481705149,172.18344487158987,22681
338,169.63214321123797,172.1758966418255,22682
339,170.65400091005608,172.17140727388517,22683
340,174.34596803198448,172.17780304082075,22684
341,154.86156818816224,172.12702229345226,22685
342,168.42888731030928,172.11620903326764,22686
343,165.13281936108626,172.09584929661403,22687
344,190.56353119816526,172.14953441842087,22688
345,171.03515527378408,172.14630433394368,22689
346,176.46988110771431,172.15880022057306,22690
347,171.33725585407,172.1564326575572,22691
348,162.37152369050528,172.12831510305418,22692
349,172.0401580124284,172.12806250394064,22693
350,164.09522918150824,172.10511155159082,22694
351,174.56398204076132,172.1121168806198,22695
352,174.34711881416757,172.11846631793102,22696
353,174.59031964535842,172.12546873528916,22697
354,182.8823879095248,172.15585551261753,22698
