method,seed,time_min
Random,20251504,567.0001782197443
Random,20251505,585.0730082920622
Random,20251506,602.3825062044532
Random,20251507,581.2410308907022
Random,20251508,581.1067634604424
Random,20251509,590.3279529305693
Random,20251510,596.0005119808918
Random,20251511,594.1899737141603
Random,20251512,577.0868467609129
Random,20251513,595.3540328793712
Random,20251514,609.6842637840617
Random,20251515,584.0137424879516
Random,20251516,583.2659912238458
Random,20251517,589.6239532405742
Random,20251518,609.6602690896641
Random,20251519,609.1198386874536
Random,20251520,588.6508767869981
Random,20251521,623.7013905101417
Random,20251522,595.6917844264441
Random,20251523,566.0692424770263
Random,20251524,598.2691275119297
Random,20251525,576.2431336046602
Random,20251526,574.4209312009749
Random,20251527,619.3964100998833
Random,20251528,594.4224116113829
Random,20251529,597.2467399942286
Random,20251530,590.0851155054887
Random,20251531,586.9541286088235
Random,20251532,585.8429253544672
Random,20251533,583.3521362991963
Random,20251534,590.5919311328541
Random,20251535,573.8795503866269
Random,20251536,587.8750899929589
Random,20251537,597.5753926451108
Random,20251538,565.1736055220497
Random,20251539,575.3149464554996
Random,20251540,591.2393782515579
Random,20251541,580.0937385127257
Random,20251542,572.8197414177702
Random,20251543,597.4496410951198
Random,20251544,607.5183399969526
Random,20251545,572.6587415541478
Random,20251546,582.9038353684367
Random,20251547,608.5765944624029
Random,20251548,579.5364823795959
Random,20251549,570.822308960323
Random,20251550,602.3172564570148
Random,20251551,592.8705984001685
Random,20251552,577.5060639921188
Random,20251553,605.337620359255
Random,20251554,605.6456907407621
Random,20251555,585.4185660123569
Random,20251556,593.6037275687108
Random,20251557,595.1343528812549
Random,20251558,566.1270339007071
Random,20251559,591.0656504566463
Random,20251560,583.4796075581281
Random,20251561,588.7688349389314
Random,20251562,626.4509382668123
Random,20251563,573.6904152560581
Random,20251564,596.3487159107232
Random,20251565,598.081232113139
Random,20251566,592.1464655405888
Random,20251567,579.1745294159048
Random,20251568,584.4266720799623
Random,20251569,594.5850356216908
Random,20251570,580.1526436263397
Random,20251571,594.3101320044883
Random,20251572,578.6369355069337
Random,20251573,595.1118790180323
Random,20251574,561.7427773029414
Random,20251575,596.8636841921764
Random,20251576,578.8497062662154
Random,20251577,584.6500380641755
Random,20251578,588.2665359510261
Random,20251579,575.8984406580392
Random,20251580,591.1127398359871
Random,20251581,590.4244466283654
Random,20251582,582.8771313183302
Random,20251583,589.9873826452015
Random,20251584,601.5579021086454
Random,20251585,606.150493925606
Random,20251586,599.5016272142633
Random,20251587,571.5355993631667
Random,20251588,603.7142029124124
Random,20251589,586.7233319400472
Random,20251590,603.3691035631098
Random,20251591,574.9983628293652
Random,20251592,579.8904671881292
Random,20251593,605.5883608999686
Random,20251594,597.6442877494718
Random,20251595,609.8230088195537
Random,20251596,572.1039651622134
Random,20251597,599.9991185790876
Random,20251598,582.1567459381758
Random,20251599,590.1532002287004
Random,20251600,580.7562958705582
Random,20251601,600.1303976934382
Random,20251602,582.4140587446393
Random,20251603,589.1967307400023
Random,20251604,589.0116274399822
Random,20251605,580.145686896562
Random,20251606,586.0421355488495
Random,20251607,579.7575607711196
Random,20251608,592.2590211686247
Random,20251609,577.0076477914151
Random,20251610,598.9764119949014
Random,20251611,595.3730202535518
Random,20251612,619.1978450904664
Random,20251613,579.6537372808958
Random,20251614,599.2282208829212
Random,20251615,590.1251516269806
Random,20251616,587.8519954103444
Random,20251617,595.1155499038705
Random,20251618,600.2384672862783
Random,20251619,569.8566073105437
Random,20251620,625.0686896647416
Random,20251621,604.6833012946796
Random,20251622,585.2206710866883
Random,20251623,597.6460912542753
Random,20251624,579.412124720093
Random,20251625,591.5953349369368
Random,20251626,584.671304253009
Random,20251627,586.8105561023051
Random,20251628,597.0347072420814
Random,20251629,594.6770918899252
Random,20251630,598.5949663593717
Random,20251631,611.470956577227
Random,20251632,584.3417005400231
Random,20251633,591.2784241205483
Random,20251634,607.3631797102622
Random,20251635,601.9539091025401
Random,20251636,593.7091846869499
Random,20251637,622.0158456410628
Random,20251638,567.7786604972769
Random,20251639,610.4646724305015
Random,20251640,576.5563459853863
Random,20251641,583.2653815142017
Random,20251642,597.9906289835994
Random,20251643,575.4476134598667
Random,20251644,599.156103835016
Random,20251645,586.0567008811494
Random,20251646,583.9339891664835
Random,20251647,586.1993663647352
Random,20251648,579.0581851153382
Random,20251649,565.9772748980982
Random,20251650,598.5363634364014
Random,20251651,600.9436228267358
Random,20251652,585.4685702169893
Random,20251653,572.9135408132901
Random,20251654,582.2462159441553
Random,20251655,603.5968044226465
Random,20251656,581.2308929259341
Random,20251657,573.4947252174888
Random,20251658,600.7778140598648
Random,20251659,575.0738751456456
Random,20251660,594.375387770877
Random,20251661,567.6140601358472
Random,20251662,581.9132741993686
Random,20251663,596.8963392010119
Random,20251664,600.6358455613503
Random,20251665,562.0551129924698
Random,20251666,572.5328471549794
Random,20251667,610.86871515604
Random,20251668,590.8311956613077
Random,20251669,591.689645872837
Random,20251670,584.5136555832788
Random,20251671,593.9791880730922
Random,20251672,577.1693298815272
Random,20251673,576.1636969556394
Random,20251674,598.7470168761449
Random,20251675,584.5959146079347
Random,20251676,566.7563914529367
Random,20251677,581.0183261096317
Random,20251678,573.9968118948292
Random,20251679,588.1381192736291
Random,20251680,603.0300566164843
Random,20251681,583.1542496886923
Random,20251682,591.5886883846418
Random,20251683,569.193016709026
Random,20251684,594.0622984942605
Random,20251685,596.0684417513842
Random,20251686,575.2504733671338
Random,20251687,599.1138312527203
