method,run,minutes
RANDOM,97,127.95847482322567
RANDOM,98,127.77683703814326
RANDOM,99,131.5459402363367
RANDOM,100,130.63845786758856
BACK_TO_FRONT,1,195.655545069758
BACK_TO_FRONT,2,195.81808293816027
BACK_TO_FRONT,3,176.79802689129687
BACK_TO_FRONT,4,197.3326077080344
BACK_TO_FRONT,5,175.33578712445333
BACK_TO_FRONT,6,199.9483832749311
BACK_TO_FRONT,7,199.48809745698492
BACK_TO_FRONT,8,171.9405847194392
BACK_TO_FRONT,9,177.02284231574706
BACK_TO_FRONT,10,173.0254473942923
BACK_TO_FRONT,11,196.62375731543096
BACK_TO_FRONT,12,206.47781880102937
BACK_TO_FRONT,13,198.71985861600143
BACK_TO_FRONT,14,207.45790781296253
BACK_TO_FRONT,15,183.8374216842514
BACK_TO_FRONT,16,202.57188690576388
BACK_TO_FRONT,17,197.63592112356324
BACK_TO_FRONT,18,190.4603188543917
BACK_TO_FRONT,19,222.74278256721243
BACK_TO_FRONT,20,187.11935517486822
BACK_TO_FRONT,21,179.7477881618175
BACK_TO_FRONT,22,204.91560932837368
BACK_TO_FRONT,23,174.3223046205558
BACK_TO_FRONT,24,183.3506591852805
BACK_TO_FRONT,25,202.49995547030875
BACK_TO_FRONT,26,182.19176135010605
BACK_TO_FRONT,27,206.63577373415873
BACK_TO_FRONT,28,189.5216190471707
BACK_TO_FRONT,29,199.79579697884793
BACK_TO_FRONT,30,191.45421669610394
BACK_TO_FRONT,31,230.82640790538218
BACK_TO_FRONT,32,192.41325553119074
BACK_TO_FRONT,33,191.0169047253566
BACK_TO_FRONT,34,194.9190737062072
BACK_TO_FRONT,35,201.15031940763066
BACK_TO_FRONT,36,168.72238210075886
BACK_TO_FRONT,37,172.4702736355081
BACK_TO_FRONT,38,196.05760746384075
BACK_TO_FRONT,39,218.76411001367512
BACK_TO_FRONT,40,202.57268820137034
BACK_TO_FRONT,41,208.07378591431484
BACK_TO_FRONT,42,181.17445877479003
BACK_TO_FRONT,43,181.89506961351586
BACK_TO_FRONT,44,182.9907501922497
BACK_TO_FRONT,45,190.56296111976167
BACK_TO_FRONT,46,241.6475884027033
BACK_TO_FRONT,47,214.32266428877065
BACK_TO_FRONT,48,224.42539829074062
BACK_TO_FRONT,49,193.73309871136638
BACK_TO_FRONT,50,200.58492013253598
BACK_TO_FRONT,51,188.8603194181568
BACK_TO_FRONT,52,200.1454410578715
BACK_TO_FRONT,53,200.94819996294063
BACK_TO_FRONT,54,192.51525013243293
BACK_TO_FRONT,55,196.9623671195401
BACK_TO_FRONT,56,198.55046456120118
BACK_TO_FRONT,57,197.9719078529409
BACK_TO_FRONT,58,205.79526968749477
BACK_TO_FRONT,59,169.57668321920426
BACK_TO_FRONT,60,197.09484887078284
BACK_TO_FRONT,61,179.0674695765685
BACK_TO_FRONT,62,193.01935124647142
BACK_TO_FRONT,63,189.88536414124925
BACK_TO_FRONT,64,175.8246687301275
BACK_TO_FRONT,65,198.93521145054834
BACK_TO_FRONT,66,182.57984903808733
BACK_TO_FRONT,67,182.0958139189993
BACK_TO_FRONT,68,174.35081416193805
BACK_TO_FRONT,69,169.93030146581398
BACK_TO_FRONT,70,187.577870957158
BACK_TO_FRONT,71,181.58267495115516
BACK_TO_FRONT,72,182.85935873987162
BACK_TO_FRONT,73,182.51759897909923
BACK_TO_FRONT,74,188.30166661944702
BACK_TO_FRONT,75,193.7315251419378
BACK_TO_FRONT,76,183.78471672172313
BACK_TO_FRONT,77,196.8991413531064
BACK_TO_FRONT,78,198.20868699993244
BACK_TO_FRONT,79,188.96862913950122
BACK_TO_FRONT,80,185.89151523167894
BACK_TO_FRONT,81,184.27322721262578
BACK_TO_FRONT,82,195.84186782908478
BACK_TO_FRONT,83,198.24536214659597
BACK_TO_FRONT,84,207.99053441380462
BACK_TO_FRONT,85,184.0882225505649
BACK_TO_FRONT,86,179.83469899674324
BACK_TO_FRONT,87,190.1657469039034
BACK_TO_FRONT,88,177.64692792344184
BACK_TO_FRONT,89,192.4411893359817
BACK_TO_FRONT,90,190.91529121772405
